"filename", "language", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\README.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\package-lock.json", "JSON", 0, 0, 2392, 0, 0, 0, 0, 0, 1, 2393
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\package.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\src\App.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\src\App.jsx", "JavaScript JSX", 0, 0, 0, 224, 0, 0, 0, 27, 39, 290
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\src\assets\ChooseGoalPoint.jsx", "JavaScript JSX", 0, 0, 0, 97, 0, 0, 0, 17, 23, 137
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\src\assets\MoveToPoint.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 7, 7, 37
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\src\assets\Waypoints.jsx", "JavaScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 7, 62
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\src\assets\temp.jsx", "JavaScript JSX", 0, 0, 0, 98, 0, 0, 0, 16, 26, 140
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\src\index.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\src\main.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\tailwind.config.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 1, 1, 40
"c:\Users\patel\Desktop\Jinay\Code\Projects\Pure-Pursuit-Simulator\Simulator\vite.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"Total", "-", 52, 7, 2420, 505, 13, 6, 1, 69, 116, 3189